timestamp,ping,download,upload,server
2018-02-27T19:40:02.187122Z,53.597,53.884,10.318,TekLinks
2018-02-27T19:50:02.611014Z,51.684,82.709,11.315,TekLinks
2018-02-27T20:00:03.019600Z,58.577,78.132,11.406,TekLinks
2018-02-27T20:10:02.330726Z,401.294,69.533,11.551,TekLinks
2018-02-27T20:20:02.689372Z,51.677,83.835,11.521,TekLinks
2018-02-27T20:30:07.687224Z,51.971,78.422,10.983,TekLinks
2018-02-27T20:40:02.578827Z,55.329,80.814,11.467,TekLinks
2018-02-27T20:50:02.989948Z,50.779,57.715,11.383,TekLinks
2018-02-27T21:00:01.695851Z,675.561,83.88,11.364,TekLinks
2018-02-27T21:10:02.114416Z,52.39,82.519,11.369,TekLinks
2018-02-27T21:20:01.984238Z,51.404,63.378,11.432,TekLinks
2018-02-27T21:30:09.465043Z,51.32,81.453,11.476,TekLinks
2018-02-27T21:40:02.081017Z,50.508,80.583,11.519,TekLinks
2018-02-27T21:50:02.054344Z,571.951,78.166,11.209,TekLinks
2018-02-27T22:00:08.418992Z,51.649,81.249,11.253,TekLinks
2018-02-27T22:10:03.156336Z,56.783,82.53,10.619,TekLinks
2018-02-27T22:20:02.708946Z,282.38,74.455,10.786,TekLinks
2018-02-27T22:30:06.711726Z,54.861,77.992,11.438,TekLinks
2018-02-27T22:40:02.622810Z,52.981,79.385,11.371,TekLinks
2018-02-27T22:50:05.042406Z,50.641,83.729,11.033,TekLinks
2018-02-27T23:00:07.291082Z,371.316,79.823,11.435,TekLinks
2018-02-27T23:10:01.881922Z,57.519,83.008,11.344,TekLinks
2018-02-27T23:20:01.564791Z,54.006,85.38,11.307,TekLinks
2018-02-27T23:30:02.707258Z,51.578,83.201,11.385,TekLinks
2018-02-27T23:40:02.833285Z,55.431,83.455,11.393,TekLinks
2018-02-27T23:50:02.441515Z,49.99,60.081,11.414,TekLinks
2018-02-28T00:00:09.957776Z,54.403,82.402,11.138,TekLinks
2018-02-28T00:10:02.447512Z,51.35,82.351,11.487,TekLinks
2018-02-28T00:20:02.215520Z,57.456,79.168,11.371,TekLinks
2018-02-28T00:30:02.383713Z,610.982,79.837,11.374,TekLinks
2018-02-28T00:40:03.351727Z,53.073,78.029,11.414,TekLinks
2018-02-28T00:50:02.853916Z,53.443,19.287,10.501,TekLinks
2018-02-28T01:00:09.087877Z,702.854,74.247,11.333,TekLinks
2018-02-28T01:10:02.561934Z,118.501,77.317,11.258,TekLinks
2018-02-28T01:20:01.977789Z,52.909,82.71,11.432,TekLinks
2018-02-28T01:30:02.430320Z,51.066,80.355,11.119,TekLinks
2018-02-28T01:40:02.287191Z,53.605,75.911,11.423,TekLinks
2018-02-28T01:50:02.420510Z,51.944,47.404,11.335,TekLinks
2018-02-28T02:00:08.430319Z,52.899,80.566,11.122,TekLinks
2018-02-28T02:10:02.511846Z,51.696,48.868,11.354,TekLinks
2018-02-28T02:20:02.250989Z,51.011,78.959,11.054,TekLinks
2018-02-28T02:30:02.035705Z,363.907,80.864,11.282,TekLinks
2018-02-28T02:40:02.562388Z,58.111,81.422,11.394,TekLinks
2018-02-28T02:50:02.351462Z,54.895,78.601,10.624,TekLinks
2018-02-28T03:00:10.756073Z,54.874,56.942,11.499,TekLinks
2018-02-28T03:10:02.437455Z,51.743,78.433,11.372,TekLinks
2018-02-28T03:20:02.060687Z,52.403,57.17,11.242,TekLinks
2018-02-28T03:30:01.790321Z,52.973,77.316,11.079,TekLinks
